"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2008","5,499.70","5,620.70","5,620.70","5,492.10","","-2.15%"
"02/09/2008","5,620.70","5,602.80","5,646.50","5,574.90","","0.32%"
"01/09/2008","5,602.80","5,636.60","5,636.60","5,573.80","","-0.60%"
"29/08/2008","5,636.60","5,601.20","5,649.10","5,587.40","","0.63%"
"28/08/2008","5,601.20","5,528.10","5,634.00","5,496.90","","1.32%"
"27/08/2008","5,528.10","5,470.70","5,540.80","5,434.70","","1.05%"
"26/08/2008","5,470.70","5,505.60","5,505.60","5,369.30","","-0.63%"
"22/08/2008","5,505.60","5,370.20","5,505.60","5,368.00","","2.52%"
"21/08/2008","5,370.20","5,371.80","5,408.00","5,311.40","","-0.03%"
"20/08/2008","5,371.80","5,320.40","5,384.20","5,320.40","","0.97%"
"19/08/2008","5,320.40","5,450.20","5,450.20","5,317.10","","-2.38%"
"18/08/2008","5,450.20","5,454.80","5,498.70","5,425.30","","-0.08%"
"15/08/2008","5,454.80","5,497.40","5,538.80","5,432.20","","-0.77%"
"14/08/2008","5,497.40","5,448.60","5,539.60","5,445.60","","0.90%"
"13/08/2008","5,448.60","5,534.50","5,534.50","5,437.10","","-1.55%"
"12/08/2008","5,534.50","5,541.80","5,569.20","5,491.30","","-0.13%"
"11/08/2008","5,541.80","5,489.20","5,541.80","5,477.70","","0.96%"
"08/08/2008","5,489.20","5,477.50","5,507.20","5,410.80","","0.21%"
"07/08/2008","5,477.50","5,486.10","5,539.30","5,450.90","","-0.16%"
"06/08/2008","5,486.10","5,454.50","5,498.60","5,440.10","","0.58%"
"05/08/2008","5,454.50","5,320.20","5,454.50","5,299.70","","2.52%"
"04/08/2008","5,320.20","5,354.70","5,414.70","5,310.30","","-0.64%"
"01/08/2008","5,354.70","5,411.90","5,411.90","5,321.30","","-1.06%"
"31/07/2008","5,411.90","5,420.70","5,456.10","5,371.30","","-0.16%"
"30/07/2008","5,420.70","5,319.20","5,435.90","5,319.20","","1.91%"
"29/07/2008","5,319.20","5,312.60","5,354.60","5,261.40","","0.12%"
"28/07/2008","5,312.60","5,352.60","5,365.80","5,308.40","","-0.75%"
"25/07/2008","5,352.60","5,362.30","5,375.20","5,291.40","","-0.18%"
"24/07/2008","5,362.30","5,449.90","5,463.70","5,345.10","","-1.61%"
"23/07/2008","5,449.90","5,364.10","5,467.20","5,364.10","","1.60%"
"22/07/2008","5,364.10","5,404.30","5,404.30","5,282.80","","-0.74%"
"21/07/2008","5,404.30","5,376.40","5,445.80","5,334.60","","0.52%"
"18/07/2008","5,376.40","5,286.30","5,376.40","5,216.60","","1.70%"
"17/07/2008","5,286.30","5,150.60","5,320.50","5,150.60","","2.63%"
"16/07/2008","5,150.60","5,171.90","5,210.10","5,071.10","","-0.41%"
"15/07/2008","5,171.90","5,300.40","5,300.40","5,119.00","","-2.42%"
"14/07/2008","5,300.40","5,261.60","5,373.20","5,261.60","","0.74%"
"11/07/2008","5,261.60","5,406.80","5,461.80","5,261.60","","-2.69%"
"10/07/2008","5,406.80","5,529.60","5,529.60","5,392.60","","-2.22%"
"09/07/2008","5,529.60","5,440.50","5,538.20","5,440.50","","1.64%"
"08/07/2008","5,440.50","5,512.70","5,512.70","5,358.70","","-1.31%"
"07/07/2008","5,512.70","5,412.80","5,516.40","5,400.10","","1.85%"
"04/07/2008","5,412.80","5,476.60","5,490.20","5,394.00","","-1.16%"
"03/07/2008","5,476.60","5,426.30","5,490.60","5,358.50","","0.93%"
"02/07/2008","5,426.30","5,479.90","5,566.80","5,426.30","","-0.98%"
"01/07/2008","5,479.90","5,625.90","5,625.90","5,466.30","","-2.60%"
"30/06/2008","5,625.90","5,529.90","5,625.90","5,520.20","","1.74%"
"27/06/2008","5,529.90","5,518.20","5,555.20","5,470.90","","0.21%"
"26/06/2008","5,518.20","5,666.10","5,666.10","5,518.20","","-2.61%"
"25/06/2008","5,666.10","5,634.70","5,669.60","5,634.70","","0.56%"
"24/06/2008","5,634.70","5,667.20","5,693.80","5,581.60","","-0.57%"
"23/06/2008","5,667.20","5,620.80","5,679.20","5,603.20","","0.83%"
"20/06/2008","5,620.80","5,708.40","5,731.90","5,597.00","","-1.53%"
"19/06/2008","5,708.40","5,756.90","5,786.40","5,707.20","","-0.84%"
"18/06/2008","5,756.90","5,861.90","5,861.90","5,735.40","","-1.79%"
"17/06/2008","5,861.90","5,794.60","5,930.30","5,794.60","","1.16%"
"16/06/2008","5,794.60","5,802.80","5,832.60","5,759.60","","-0.14%"
"13/06/2008","5,802.80","5,790.50","5,818.30","5,719.50","","0.21%"
"12/06/2008","5,790.50","5,723.30","5,797.80","5,719.80","","1.17%"
"11/06/2008","5,723.30","5,827.30","5,859.40","5,708.30","","-1.78%"
"10/06/2008","5,827.30","5,877.60","5,877.60","5,813.40","","-0.86%"
"09/06/2008","5,877.60","5,906.80","5,938.50","5,869.60","","-0.49%"
"06/06/2008","5,906.80","5,995.30","6,074.50","5,906.50","","-1.48%"
"05/06/2008","5,995.30","5,970.10","6,005.10","5,941.00","","0.42%"
"04/06/2008","5,970.10","6,057.70","6,057.70","5,933.30","","-1.45%"
"03/06/2008","6,057.70","6,007.60","6,059.00","5,993.30","","0.83%"
"02/06/2008","6,007.60","6,053.50","6,060.80","5,978.40","","-0.76%"
"30/05/2008","6,053.50","6,068.10","6,111.60","6,044.70","","-0.24%"
"29/05/2008","6,068.10","6,069.60","6,130.50","6,041.10","","-0.02%"
"28/05/2008","6,069.60","6,058.50","6,122.20","6,052.50","","0.18%"
"27/05/2008","6,058.50","6,087.30","6,141.70","6,048.70","","-0.47%"
"23/05/2008","6,087.30","6,181.60","6,182.90","6,087.30","","-1.53%"
"22/05/2008","6,181.60","6,198.10","6,226.20","6,159.40","","-0.27%"
"21/05/2008","6,198.10","6,191.60","6,257.30","6,183.50","","0.10%"
"20/05/2008","6,191.60","6,376.50","6,376.50","6,191.60","","-2.90%"
"19/05/2008","6,376.50","6,304.30","6,377.00","6,302.80","","1.15%"
"16/05/2008","6,304.30","6,251.80","6,348.60","6,251.80","","0.84%"
"15/05/2008","6,251.80","6,216.00","6,258.50","6,168.80","","0.58%"
"14/05/2008","6,216.00","6,211.90","6,253.10","6,167.90","","0.07%"
"13/05/2008","6,211.90","6,220.60","6,268.10","6,142.30","","-0.14%"
"12/05/2008","6,220.60","6,204.70","6,251.90","6,184.80","","0.26%"
"09/05/2008","6,204.70","6,270.80","6,270.80","6,167.60","","-1.05%"
"08/05/2008","6,270.80","6,256.50","6,273.30","6,217.00","","0.16%"
"07/05/2008","6,261.00","6,215.20","6,275.00","6,214.10","","0.74%"
"06/05/2008","6,215.20","6,215.50","6,233.70","6,155.90","","0.00%"
"02/05/2008","6,215.50","6,087.30","6,223.90","6,087.30","","2.11%"
"01/05/2008","6,087.30","6,087.30","6,118.20","6,066.00","","0.00%"
"30/04/2008","6,087.30","6,089.40","6,120.30","6,035.80","","-0.03%"
"29/04/2008","6,089.40","6,090.40","6,133.50","6,051.60","","-0.02%"
"28/04/2008","6,090.40","6,091.40","6,134.50","6,083.50","","-0.02%"
"25/04/2008","6,091.40","6,050.70","6,098.80","6,045.50","","0.67%"
"24/04/2008","6,050.70","6,083.60","6,083.60","5,951.90","","-0.54%"
"23/04/2008","6,083.60","6,034.70","6,083.60","5,978.80","","0.81%"
"22/04/2008","6,034.70","6,053.00","6,072.00","6,007.50","","-0.30%"
"21/04/2008","6,053.00","6,056.50","6,089.50","6,021.20","","-0.06%"
"18/04/2008","6,056.50","5,980.40","6,062.10","5,974.30","","1.27%"
"17/04/2008","5,980.40","6,046.20","6,086.40","5,973.90","","-1.09%"
"16/04/2008","6,046.20","5,906.90","6,046.20","5,906.90","","2.36%"
"15/04/2008","5,906.90","5,831.60","5,943.30","5,831.60","","1.29%"
"14/04/2008","5,831.60","5,895.50","5,895.50","5,827.00","","-1.08%"
"11/04/2008","5,895.50","5,965.10","6,016.30","5,866.10","","-1.17%"
"10/04/2008","5,965.10","5,983.90","6,003.20","5,881.90","","-0.31%"
"09/04/2008","5,983.90","5,990.20","6,015.60","5,947.20","","-0.11%"
"08/04/2008","5,990.20","6,014.80","6,014.80","5,942.20","","-0.41%"
